2026-08-13 10:44:23 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:44:23 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:44:45 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:44:45 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.443769 MHz in FM mode
2026-08-13 10:45:02 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:45:02 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:45:04 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:45:04 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.484296 MHz in FM mode
2026-08-13 10:45:23 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:45:23 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:45:30 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:45:30 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.443769 MHz in FM mode
2026-08-13 10:45:33 [ERROR   ] sdr_monitor.web_backend (main.py:592): Audio send task error: 
2026-08-13 10:45:33 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:45:33 [ERROR   ] sdr_monitor.web_backend (main.py:611): Audio WebSocket receive error: WebSocket is not connected. Need to call "accept" first.
2026-08-13 10:47:40 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:47:40 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:47:41 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: D8ADCBDD [hardware]
2026-08-13 10:47:41 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: D8ADCBDD
2026-08-13 10:47:51 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:47:51 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:47:51 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 6FFA6CAB [hardware]
2026-08-13 10:47:51 [INFO    ] sdr_monitor.web_backend (main.py:447): Hardware reload requested; engine now in hardware mode.
2026-08-13 10:48:25 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:48:25 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 97.698666 MHz in FM mode
2026-08-13 10:49:31 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:49:31 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
